"№";"Изображение";"Имя";"Номер заказа";"Категория";"Базовая цена";"Итоговая Цена";"Количество";"Статус";
"8";"http://denfish.my/img/p/0.jpg";"Спиннинг TAIFUN SPIN 240 см ";" 2414-240";"Спиннинговые удилища";"4.000000";"4";"97";"1";
"13";"http://denfish.my/img/p/3/2/32.jpg";"Спиннинг  SPIN 240 см ";" 2414";"Спиннинговые удилища";"20.000000";"20";"2";"1";
"21";"http://denfish.my/img/p/4/0/40.jpg";"Спиннинг  SPIN 240 см ";" 2414";"Спиннинговые удилища";"250.000000";"250";"0";"1";
"29";"http://denfish.my/img/p/4/8/48.jpg";"Спиннинг  SPIN 240 см ";" 2414";"Спиннинговые удилища";"250.000000";"250";"0";"1";
"16";"http://denfish.my/img/p/3/5/35.jpg";"Спиннинг Salmo  SPIN 235 см  ";" 2414-240";"Спиннинговые удилища";"200.000000";"200";"0";"1";
"24";"http://denfish.my/img/p/4/3/43.jpg";"Спиннинг Salmo TAIFUN 220 см ";" 2414-240";"Спиннинговые удилища";"200.000000";"200";"0";"1";
"32";"http://denfish.my/img/p/5/7/57.jpg";"КАТУШКА DIAMOND FEEDER 5130FD";"5130FD";"Новинки";"718.000000";"718";"17";"1";
"11";"http://denfish.my/img/p/3/0/30.jpg";"Фидер Salmo  Feeder 350 см ";"789090";"Новинки";"10.000000";"10";"48";"1";
"19";"http://denfish.my/img/p/3/8/38.jpg";"Фидер Salmo Diamond  350 см ";"789090";"Фидерные удилища";"1000.000000";"1000";"5";"1";
"27";"http://denfish.my/img/p/4/6/46.jpg";"Фидер Diamond Feeder 120 см  ";"789090";"Фидерные удилища";"1000.000000";"1000";"0";"1";
"14";"http://denfish.my/img/p/3/3/33.jpg";"Фидер Taifun Special Feeder 310 см";"346575678";"Фидерные удилища";"4.000000";"4";"9";"1";
"22";"http://denfish.my/img/p/4/1/41.jpg";"Фидер Taifun Special Feeder 320 см ";"346575678";"Фидерные удилища";"650.000000";"650";"0";"1";
"30";"http://denfish.my/img/p/4/9/49.jpg";"Фидер  Taifun  Feeder 400 см ";"346575678";"Фидерные удилища";"650.000000";"650";"0";"1";
"9";"http://denfish.my/img/p/5/5/55.jpg";"Спиннинг  SPIN 240 ";" 2414";"Новинки";"2.000000";"2";"0";"1";
"17";"http://denfish.my/img/p/3/6/36.jpg";"Спиннинг  SPIN 240 см ";" 2414";"Спиннинговые удилища";"250.000000";"250";"5";"1";
"25";"http://denfish.my/img/p/4/4/44.jpg";"Спиннинг  SPIN 240 см ";" 2414";"Спиннинговые удилища";"250.000000";"250";"0";"1";
"33";"http://denfish.my/img/p/5/8/58.jpg";"КАТУШКА SALMO SNIPER 30BR";"3030BR";"Катушки";"800.000000";"800";"20";"1";
"12";"http://denfish.my/img/p/3/1/31.jpg";"Спиннинг Salmo SPIN 2240 см ";" 24135";"Спиннинговые удилища";"15.000000";"15";"4";"1";
"20";"http://denfish.my/img/p/3/9/39.jpg";"Спиннинг  SPIN 240 см ";" 2414";"Спиннинговые удилища";"250.000000";"250";"0";"1";
"28";"http://denfish.my/img/p/4/7/47.jpg";"Спиннинг Salmo TAIFUN 200 см ";" 2414-240";"Спиннинговые удилища";"200.000000";"200";"0";"1";
"15";"http://denfish.my/img/p/3/4/34.jpg";"Фидер Salmo";"78945444";"Фидерные удилища";"5.000000";"5";"10";"1";
"23";"http://denfish.my/img/p/4/2/42.jpg";"Фидер  Diamond Feeder 340 см ";"789090";"Фидерные удилища";"1000.000000";"1000";"5";"1";
"31";"http://denfish.my/img/p/5/0/50.jpg";"Фидер Salmo  360 см";"789090";"Фидерные удилища";"1000.000000";"1000";"0";"1";
"10";"http://denfish.my/img/p/2/8/28.jpg";"Фидер Salmo Taifun Feeder 300 см";"346575678";"Фидерные удилища";"20.000000";"20";"120";"1";
"18";"http://denfish.my/img/p/3/7/37.jpg";"Фидер  Taifun Special Feeder 310 см ";"346575678";"Фидерные удилища";"650.000000";"650";"0";"1";
"26";"http://denfish.my/img/p/4/5/45.jpg";"Фидер Salmo Taifun  Feeder 270 см ";"346575678";"Фидерные удилища";"650.000000";"650";"0";"1";
"34";"http://denfish.my/img/p/5/9/59.jpg";"Лодка Bark B-240";"88835";"Лодки, моторы";"2000.000000";"2000";"10";"1";
