Ãðóïà òîâàð³â;Êîä;Íàçâàíèå;;;;Çàëèøîê;?òðèõ êîä;Öåíà çàêóïêè;;Ðîçíè÷íàÿ öåíà (UAH)
Âîáëåðû;13208;GS Íàáîð Predator (2ïîâîäêà,4 âîáëåðà â êîðîáêå);;;;1;5999018287969;3,32;;137
Âîáëåðû;13251;Áàëàíñèð EOS;;;;51;2000000132518;1,33;;49
Âîáëåðû;13505;Âîáëåð Jackall Tiny Fry 50SP 50ìì 2,7ã HL Gold&Black;;;;4;4525807020649;8,01;;327
Âîáëåðû;13506;Âîáëåð Jackall Tiny Fry 50SP 50ìì 2,7ã Suji Shrimp;;;;3;4525807050141;8,01;;327
Âîáëåðû;13507;Âîáëåð Jackall Tiny Fry 50SP 50ìì 2,7ã Mat Tiger Suspending;;;;3;4525807030778;8,01;;327
Âîáëåðû;13508;Âîáëåð Jackall Tiny Fry 50SP 50ìì 2,7ã HL Fry Suspending;;;;4;4525807050158;8,01;;327
Âîáëåðû;13509;Âîáëåð Jackall Tiny Fry 50SP 50ìì 2,7ã HL Wakasagi Suspending;;;;4;4525807054149;8,01;;327
Âîáëåðû;13510;Âîáëåð Jackall Tiny Fry 50SP 50ìì 2,7ã HL Silver&Black Suspending;;;;4;4525807052831;8,01;;327
Âîáëåðû;13511;Âîáëåð Jackall Tiny Fry 50SP 50ìì 2,7ã Ghost AYU Suspending;;;;4;4525807054156;8,01;;327
Âîáëåðû;13512;Âîáëåð Jackall Flat Fly 50SP 50ìì 2,3ã Mat Tiger Sinking;;;;1;4525807047639;6,66;;272
Âîáëåðû;13513;Âîáëåð Jackall Flat Fly 50SP 50ìì 2,3ã HL Silver&Black Suspending;;;;1;4525807059663;6,66;;272
Âîáëåðû;13514;Âîáëåð Jackall Flat Fly 50SP 50ìì 2,3ã Ghost AYU Suspending;;;;1;4525807059649;6,66;;272
Âîáëåðû;13515;Âîáëåð Jackall Diving Chubby 38ìì 4,3ã HL Black;;;;1;4525807078930;8,19;;335
Âîáëåðû;13516;Âîáëåð Jackall Diving Chubby 38ìì 4,3ã Ghost Purple;;;;1;4525807078947;8,19;;335
Âîáëåðû;13517;Âîáëåð Jackall Diving Chubby 38ìì 4,3ã Brown Suji Shrimp;;;;1;4525807029024;8,19;;335
Âîáëåðû;13518;Âîáëåð Jackall Diving Chubby 38ìì 4,3ã Ghost Wakasagi;;;;1;4525807028898;8,19;;335
Âîáëåðû;13519;Âîáëåð Jackall Diving Chubby 38ìì 4,3ã Mat Black;;;;1;4525807078909;8,19;;335
Âîáëåðû;13520;Âîáëåð Jackall Diving Chubby 38ìì 4,3ã Mat Tiger Floating;;;;1;4525807028874;8,19;;335
Âîáëåðû;13521;Âîáëåð Jackall Cherry Zero Footer 48 48ìì 7,6ã Pellet Yellow Floating;;;;1;4525807078794;8,55;;350
Âîáëåðû;13533;Âîáëåð Jackall Cherry Zero Footer 56 56ìì 11ã HL Ayu Floating;;;;2;4525807038972;8,96;;366
Âîáëåðû;13555;Âîáëåð Jackall PANICRA MR SUKECHA PURPLE 32mm 3.3g;;;;1;4560212121437;7,74;;316
Âîáëåðû;13534;Âîáëåð Jackall Mud Sucker 90mm 8.2g NF HASU;;;;1;4525807034240;6,84;;280
Âîáëåðû;13535;Âîáëåð Jackall Mud Sucker 90mm 8.2g Oikawa;;;;1;4525807013917;6,84;;280
Âîáëåðû;13556;Âîáëåð Jackall PANICRA MR MIST PELLET 32mm 3.3g;;;;1;4560212121482;7,74;;316
Âîáëåðû;13536;Âîáëåð Jackall D Cherry 55 55ìì 11,2ã HL AYU Floating;;;;1;4525807032260;9,09;;372
Âîáëåðû;13537;Âîáëåð Jackall D Cherry 55 55ìì 11,2ã Blue black tiger Floating;;;;1;4525807009156;9,09;;372
Âîáëåðû;13557;"Âîáëåð Jackall PANICRA MR IS GREEN GOLD 32mm 3.3g	";;;;1;4560212126104;7,74;;316
Âîáëåðû;13538;Âîáëåð Jackall D Cherry 55 55ìì 11,2ã Chrome tiger Floating;;;;1;4525807032307;9,09;;372
Âîáëåðû;13559;"Âîáëåð Jackall PANICRA MR GONTY GLOW 32mm 3.3g	";;;;1;4560212122977;7,74;;316
Âîáëåðû;13539;Âîáëåð Jackall Turbine 70 70ìì 12.6ã Noike gill Floating;;;;4;4525807041361;9,9;;404
Âîáëåðû;13540;Âîáëåð Jackall MITTS F OLIVE 28mm 1.5g;;;;1;4560212114392;5,58;;228
Âîáëåðû;13560;Âîáëåð Jackall PANICRA MR GONTY OAK 32mm 3.3g;;;;1;4560212125541;7,74;;316
Âîáëåðû;13541;Âîáëåð Jackall MITTS S OLIVE 28mm 1.8g;;;;1;4560212113807;5,58;;228
Âîáëåðû;13542;Âîáëåð Jackall MITTS S GREEN GOLD 28mm 1.8g;;;;1;4560212113845;5,58;;228
Âîáëåðû;13561;Âîáëåð Jackall Seiraminnow 55S 2.0ãð hl wakasagi*;;;;1;4525807051889;8,51;;313
Âîáëåðû;13543;Âîáëåð Jackall MITTS S LIGHT BROWN 28mm 1.8g;;;;1;4560212113883;5,58;;228
Âîáëåðû;13544;Âîáëåð Jackall MITTS S MIST PELLET 28mm 1.8g;;;;1;4560212121789;5,58;;228
Âîáëåðû;13562;Âîáëåð Jackall Seiraminnow 55S 2.0ãð shirasu*;;;;1;4525807051841;8,51;;313
Âîáëåðû;13545;Âîáëåð Jackall MITTS SR-S OLIVE 28mm 1.8g;;;;1;4560212115757;5,58;;228
Âîáëåðû;13546;Âîáëåð Jackall MITTS SR-S MIST PELLET 28mm 1.8g;;;;1;4582418080806;5,58;;228
Âîáëåðû;13547;Âîáëåð Jackall MITTS SR-S SMOKE PELLET 28mm 1.8g;;;;1;4582418080813;5,58;;228
Âîáëåðû;13548;Âîáëåð Jackall MITTS SR-S SMOKE BROWN 28mm 1.8g;;;;1;4582418080820;5,58;;228
Âîáëåðû;13549;Âîáëåð Jackall TRICOROLL 55SP SILVER YAMAME 55mm 3.5g;;;;1;4560212111261;6,3;;258
Âîáëåðû;13550;Âîáëåð Jackall TRICOROLL 55SP GOLD AYU 55mm 3.5g;;;;1;4560212111278;6,48;;265
Âîáëåðû;13564;Âîáëåð Jackall Seiraminnow 55S 2.0ãð koayu*;;;;1;4525807051827;8,51;;313
Âîáëåðû;13551;Âîáëåð Jackall TRICOROLL 55SP AMETHYST 55mm 3.5g;;;;2;4582418080752;6,48;;265
Âîáëåðû;13552;Âîáëåð Jackall TRICOROLL 55SP SILVER YAMAME 55mm 3.5g;;;;1;4560212111261;6,48;;265
Âîáëåðû;13565;Âîáëåð Jackall Seiraminnow 55S 2.0ãð oikawa*;;;;1;4525807051865;8,51;;313
Âîáëåðû;13553;Âîáëåð Jackall TRICOROLL 55HW Pink YAMAME 55mm 3.5g;;;;1;4560212120980;6,48;;265
Âîáëåðû;13554;Âîáëåð Jackall TRICOROLL 55S White & Black YAMAME 55mm 3.5g;;;;1;4560212111339;6,48;;265
Âîáëåðû;13566;Âîáëåð Jackall Seiraminnow 55S 2.0ãð chart back pearl*;;;;1;4525807051834;8,51;;313
Âîáëåðû;13567;Âîáëåð Jackall Seiraminnow 55S 2.0ãð cotton shad*;;;;1;4525807051902;8,51;;313
Âîáëåðû;13568;Âîáëåð Jackall Squadshad 65SP 7.2ãð spawn tiger;;;;2;4525807039894;10,1;;372
Âîáëåðû;13569;Âîáëåð Jackall Squadshad 65SP 7.2ãð noike gill;;;;2;4525807039900;10,1;;372
Âîáëåðû;13570;Âîáëåð Jackall Squadshad 65SP 7.2ãð brown suji shrimp;;;;4;4525807039924;10,1;;372
