Категория;назва;наявність;код;опт;роздріб
Наживка;            Sweet Angler's Maize, 220ml (125g) anise (анисовая);107,000;CZ4469;0,99 EUR;44,352
Наживка;            Sweet Angler's Maize, 220ml (125g) brandy (бренди);;CZ5869;0,99 EUR;44,352
Наживка;            Sweet Angler's Maize, 220ml (125g) honey (медовая);75,000;CZ1376;0,99 EUR;44,352
Наживка;            Sweet Angler's Maize, 220ml (125g) natural (натуральная);42,000;CZ1338;0,99 EUR;44,352
Наживка;            Sweet Angler's Maize, 220ml (125g) plum (слива);19,000;CZ7156;0,99 EUR;44,352
Наживка;            Sweet Angler's Maize, 220ml (125g) strawberry (клубничная);;CZ7149;0,99 EUR;44,352
Наживка;            Sweet Angler's Maize, 220ml (125g) tutti frutti (фруктовая смесь);77,000;CZ9362;0,99 EUR;44,352
Наживка;            Sweet Angler's Maize, 220ml (125g) vanilla (ванильная);17,000;CZ1352;0,99 EUR;44,352
Наживка;            Premium Maize, 220 ml (125g) garlic (чеснок);19,000;CZ7163;1,57 EUR;70,336
Наживка;            Premium Maize, 220 ml (125g) honey (медовая);;CZ1291;1,57 EUR;70,336
Наживка;            Premium Maize, 220 ml (125g) liver (печень);88,000;CZ3491;1,57 EUR;70,336
Наживка;            Premium Maize, 220 ml (125g) mosquito larva (личинки комаров);101,000;CZ3851;1,57 EUR;70,336
Наживка;            Premium Maize, 220 ml (125g) mussel (мидии);1 127,000;CZ1314;0,99 EUR;44,352
Наживка;            Premium Maize, 220 ml (125g) salty corn (соленая кукуруза);54,000;CZ3521;1,57 EUR;70,336
Наживка;            Premium Maize, 220 ml (125g) scopex (скопекс);;CZ3844;1,57 EUR;70,336
Наживка;            Premium Maize, 220 ml (125g) spicy sausage (острая колбаса);60,000;CZ3514;1,57 EUR;70,336
Наживка;            Premium Maize, 220 ml (125g) strawberry (клубничная);;CZ1277;1,57 EUR;70,336
Наживка;            Premium Maize, 220 ml (125g) vanilla (ванильная);;CZ9379;1,57 EUR;70,336
Наживка;            XXL Corn, 220 ml (125g) honey (медовая);33,000;CZ2342;1,57 EUR;70,336
Наживка;            XXL Corn, 220 ml (125g) mussel (мидии);;CZ9386;1,57 EUR;70,336
Наживка;            XXL Corn, 220 ml (125g) strawberry (клубничная);36,000;CZ2359;1,57 EUR;70,336
Наживка;            XXL Corn, 220 ml (125g) vanilla (ванильная);32,000;CZ2335;1,57 EUR;70,336
Наживка;            Lupin, 220 ml (125g) (люпин);95,000;CZ7934;1,59 EUR;71,232
Наживка;            Tigernuts, 220 ml (125g) (тигровый орех);74,000;CZ7170;1,59 EUR;71,232
Наживка;            Tigernuts, 220 ml (125g), chili (тигровый орех-чили перец);103,000;CZ3583;1,59 EUR;71,232
Наживка;            Tigernuts, 220 ml (125g), pineapple (тигровый орех-ананас);73,000;CZ3545;1,59 EUR;71,232
Наживка;            Feeder Competition Feeder Soft Hookers, 8&10mm, 90g, banana (банан);16,000;CZ0928;1,72 EUR;77,056
Наживка;            Feeder Competition Feeder Soft Hookers, 8&10mm, 90g, fish-halibut (рыба-палтус);11,000;CZ0966;1,72 EUR;77,056
Наживка;            Feeder Competition Feeder Soft Hookers, 8&10mm, 90g, garlic (чеснок);27,000;CZ0942;1,72 EUR;77,056
Наживка;            Feeder Competition Feeder Soft Hookers, 8&10mm, 90g, honey (мед);23,000;CZ0911;1,72 EUR;77,056
Наживка;            Feeder Competition Feeder Soft Hookers, 8&10mm, 90g, monster crab (гигантский краб);11,000;CZ0973;1,72 EUR;77,056
Наживка;            Feeder Competition Feeder Soft Hookers, 8&10mm, 90g, scopex-tigernuts (скопекс-тигровый орех);19,000;CZ0935;1,72 EUR;77,056
Наживка;            Feeder Competition Feeder Soft Hookers, 8&10mm, 90g, spice mix (смесь специй);14,000;CZ0959;1,72 EUR;77,056
Наживка;            Feeder Competition Feeder Soft Hookers, 8&10mm, 90g, strawberry (клубника);;CZ0904;1,72 EUR;77,056
Наживка;            Trout Attac, 50g, Black Flash  (Плавающее тесто на Форель-Черное);13,000;100545;2,39 EUR;107,072
Наживка;            Trout Attac, 50g, Forelli  (Плавающее тесто на Форель-Коричневое);10,000;100550;2,39 EUR;107,072
Наживка;            Trout Attac, 50g, Green Flash (Плавающее тесто на Форель-Зеленое);12,000;100522;2,39 EUR;107,072
Наживка;            Trout Attac, 50g, Orange Flash (Плавающее тесто на Форель-Оранжевое);13,000;100515;2,39 EUR;107,072
Наживка;            Trout Attac, 50g, Red Flash (Плавающее тесто на Форель-Красное);8,000;100520;2,39 EUR;107,072
