кат;назва;наявність;код;опт;роздріб
Воблеры;            Predator-Z Arrow Minnow, 12,5cm, 10g, floating;3,000;CZ0948;1,43 EUR;60,06
Воблеры;            Predator-Z Arrow Minnow, 12,5cm, 10g, floating;1,000;CZ0955;1,43 EUR;60,06
Воблеры;            Predator-Z Arrow Minnow, 12,5cm, 10g, floating;6,000;CZ0962;1,43 EUR;60,06
Воблеры;            Predator-Z Asp Minnow, 9cm, 5,8g, floating;7,000;CZ1006;1,13 EUR;47,46
Воблеры;            Predator-Z Asp Minnow, 9cm, 5,8g, floating;;CZ1013;1,13 EUR;47,46
Воблеры;            Predator-Z Asp Minnow, 9cm, 5,8g, floating;;CZ1020;1,13 EUR;47,46
Воблеры;            Predator-Z Asp Minnow, 9cm, 5,8g, floating;;CZ1037;1,13 EUR;47,46
Воблеры;            Predator-Z Asp Shad, 10cm, 11g, floating;3,000;CZ0832;1,13 EUR;47,46
Воблеры;            Predator-Z Asp Shad, 10cm, 11g, floating;2,000;CZ0849;1,13 EUR;47,46
Воблеры;            Predator-Z Asp Shad, 10cm, 11g, floating;7,000;CZ0856;1,13 EUR;47,46
Воблеры;            Predator-Z Baby Sider, 5,5cm, 3,8g, floating;3,000;CZ1136;1,13 EUR;47,46
Воблеры;            Predator-Z Baby Sider, 5,5cm, 3,8g, floating;3,000;CZ1143;1,13 EUR;47,46
Воблеры;            Predator-Z Baby Sider, 5,5cm, 3,8g, floating;8,000;CZ1150;1,13 EUR;47,46
Воблеры;            Predator-Z Baby Sider, 5,5cm, 3,8g, floating;;CZ1167;1,13 EUR;47,46
Воблеры;            Predator-Z Baby Sider, 5,5cm, 3,8g, floating;7,000;CZ1174;1,13 EUR;47,46
Воблеры;            Predator-Z Bleak Minnow, 8,5cm, 8g, floating;4,000;CZ0764;1,13 EUR;47,46
Воблеры;            Predator-Z Bleak Minnow, 8,5cm, 8g, floating;;CZ0771;1,13 EUR;47,46
Воблеры;            Predator-Z Bleak Minnow, 8,5cm, 8g, floating;1,000;CZ0788;1,13 EUR;47,46
Воблеры;            Predator-Z Boxer Crank, 5,5cm, 8g, floating;;CZ1181;1,13 EUR;47,46
Воблеры;            Predator-Z Boxer Crank, 5,5cm, 8g, floating;6,000;CZ1198;1,13 EUR;47,46
Воблеры;            Predator-Z Boxer Crank, 5,5cm, 8g, floating;8,000;CZ1204;1,13 EUR;47,46
Воблеры;            Predator-Z Chub, 4,5cm, 3,4g, floating;9,000;CZ1044;1,13 EUR;47,46
Воблеры;            Predator-Z Chub, 4,5cm, 3,4g, floating;7,000;CZ1051;1,13 EUR;47,46
Воблеры;            Predator-Z Chub, 4,5cm, 3,4g, floating;8,000;CZ1068;1,13 EUR;47,46
Воблеры;            Predator-Z Chub, 4,5cm, 3,4g, floating;8,000;CZ1075;1,13 EUR;47,46
Воблеры;            Predator-Z Deep Minnow, 9,5cm, 10,2g, sinking;8,000;CZ0795;1,13 EUR;47,46
Воблеры;            Predator-Z Deep Minnow, 9,5cm, 10,2g, sinking;4,000;CZ0801;1,13 EUR;47,46
