кат;назва;наявність;код;опт;роздріб
Готовые поводки;            CZ Busa-Silver Carp Steam Tablets, 130g (пылящие таблетки на толстолоба);44,000;CZ1785;3,10 EUR;138,88
Готовые поводки;            Combi-rig brown №6 (Бойловый поводок с японскими крючками,19.5 см,2 шт);487,000;CZ1311;1,28 EUR;53,76
Готовые поводки;            CZ Anti Eject Rig №2 (Бойловый поводок с японскими крючками,20 см,2 шт);24,000;CZ1008;1,94 EUR;81,48
Готовые поводки;            CZ Anti Eject Rig №4 (Бойловый поводок с японскими крючками,20 см,2 шт);;CZ1015;1,94 EUR;81,48
Готовые поводки;            CZ Anti Eject Rig №6, (Бойловый поводок с японскими крючками,20 см,2 шт);;CZ1022;1,94 EUR;81,48
Готовые поводки;            CZ Classic Boilie Rig №2 (Бойловый поводок с японскими крючками,20 см,2 шт);18,000;CZ0919;1,94 EUR;81,48
Готовые поводки;            CZ Classic Boilie Rig №4 (Бойловый поводок с японскими крючками,20 см,2 шт);20,000;CZ0926;1,94 EUR;81,48
Готовые поводки;            CZ Classic Boilie Rig №6 (Бойловый поводок с японскими крючками,20 см,2 шт);25,000;CZ0933;1,94 EUR;81,48
Готовые поводки;            CZ Combi Rig №2, 25lb, (Бойловый поводок с японскими крючками,20 см,2 шт);3,000;CZ1039;1,94 EUR;81,48
Готовые поводки;            CZ Combi Rig №4, 20lb, (Бойловый поводок с японскими крючками,20 см,2 шт);3,000;CZ1046;1,94 EUR;81,48
Готовые поводки;            CZ Combi Rig №6, 15lb,  (Бойловый поводок с японскими крючками,20 см,2 шт);;CZ1053;1,94 EUR;81,48
Готовые поводки;            CZ KD Rig №2 (Бойловый поводок с японскими крючками,20 см,2 шт);31,000;CZ0971;1,94 EUR;81,48
Готовые поводки;            CZ KD Rig №4 (Бойловый поводок с японскими крючками,20 см,2 шт));;CZ0988;1,94 EUR;81,48
Готовые поводки;            CZ KD Rig №6 (Бойловый поводок с японскими крючками,20 см,2 шт);;CZ0995;1,94 EUR;81,48
Готовые поводки;            CZ Snowman Rig №2 (Бойловый поводок с японскими крючками,20 см,2 шт);31,000;CZ0940;1,94 EUR;81,48
Готовые поводки;            CZ Snowman Rig №4 (Бойловый поводок с японскими крючками,20 см,2 шт);;CZ0957;1,94 EUR;81,48
Готовые поводки;            CZ Snowman Rig №6 (Бойловый поводок с японскими крючками,20 см,2 шт);25,000;CZ0964;1,94 EUR;81,48
Готовые поводки;            D-rig boilie rig №2 (Матовый черный с покрытием поводок с японскими крючками,19 см,2 шт);536,000;CZ1328;1,15 EUR;48,3
Готовые поводки;            D-rig boilie rig №4 (Матовый черный с покрытием поводок с японскими крючками,19 см,2 шт);172,000;CZ1335;1,65 EUR;69,3
Готовые поводки;            D-rig boilie rig №6 (Матовый черный с покрытием поводок с японскими крючками,19 см,2 шт);774,000;CZ1342;1,05 EUR;44,1
Готовые поводки;            Line-aligner rig №4(Бойловый поводок с покрытием и противозакручивателем с японскими крючками,19,5 см,2 шт);18,000;CZ1366;2,18 EUR;91,56
Готовые поводки;            Line-aligner rig №6 (Бойловый поводок с покрытием и противозакручивателем с японскими крючками,19,5 см,2 шт);377,000;CZ1373;1,55 EUR;65,1
Готовые поводки;            Pop-up boilie rig №2, 25lb (Бойловый поводок с японскими крючками,19 см,2 шт);3,000;CZ1380;1,88 EUR;78,96
Готовые поводки;            Pop-up boilie rig №4, 25lb (Бойловый поводок с японскими крючками,19 см,2 шт);1,000;CZ1397;1,88 EUR;78,96
Готовые поводки;            CZ Snelled Hook, Bream, №10 (Поводок с крючком на Леща);3,000;CZ5630;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Bream, №12 (Поводок с крючком на Леща);;CZ5647;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Bream, №14 (Поводок с крючком на Леща);17,000;CZ5654;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Bream, №8  (Поводок с крючком на Леща);4,000;CZ5623;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Carp, №10 (Поводок с крючком на Карпа);2,000;CZ5807;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Carp, №2 (Поводок с крючком на Карпа);;CZ5760;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Carp, №4 (Поводок с крючком на Карпа);25,000;CZ5777;0,53 EUR;22,26
Готовые поводки;            CZ Snelled Hook, Carp, №6 (Поводок с крючком на Карпа);14,000;CZ5784;0,53 EUR;22,26
