кат;назва;наявність;код;опт;роздріб
Карп - аксессуары;            CZ Casting Glove (Перчатки для забрасывания, универсальный размер);7,000;CZ7016;8,93 EUR;375,06
Карп - аксессуары;            CZ Finger Protector (Кожаный напальчник);8,000;CZ0414;2,93 EUR;123,06
Карп - аксессуары;            CZ Neoprene Finger Protector (Неопреновый напальчник для забрасывания);;CZ1529;3,23 EUR;135,66
Карп - аксессуары;            Bait Sprayer, 0,8l;6,000;CZ8243;2,18 EUR;91,56
Карп - аксессуары;            Boilie Gun – Heavy Duty (Выдавливающий бойловый пистолет);;CZ0772;10,43 EUR;438,06
Карп - аксессуары;            Boilie rolling table 16mm (БОЙЛОВЫЙ РОЛЛЕР (ДОСКА ДЛЯ КАТАНИЯ БОЙЛОВ));2,000;CZ0599;11,93 EUR;501,06
Карп - аксессуары;            Boilie rolling table 20mm (БОЙЛОВЫЙ РОЛЛЕР (ДОСКА ДЛЯ КАТАНИЯ БОЙЛОВ));4,000;CZ7481;11,93 EUR;501,06
Карп - аксессуары;            Boilie rolling table 24mm (БОЙЛОВЫЙ РОЛЛЕР (ДОСКА ДЛЯ КАТАНИЯ БОЙЛОВ));;CZ2098;11,93 EUR;501,06
Карп - аксессуары;            CZ Bait Crusher   (МЕЛЬНИЦА (ДРОБИЛКА));1,000;CZ7832;14,99 EUR;629,58
Карп - аксессуары;            Groundbait Compressor (Компрессор для прикормок);3,000;CZ7611;4,13 EUR;173,46
Карп - аксессуары;            Groundbait Mixer (насадка миксер для розмешки прикормок);5,000;CZ8342;7,43 EUR;312,06
Карп - аксессуары;            Nozzle for boilie gun (Выдавливающая воронка,макс.размер-32мм);20,000;CZ0789;0,68 EUR;28,56
Карп - аксессуары;            CZ Line counter (Измеритель вытяжки шнура и лески);5,000;CZ4238;7,43 EUR;312,06
