кат;назва;наявність;код;опт;роздріб
Карповые удилища;            Bull-dog Carp Rod, 360cm, 3,00lb, 3 sections;3,000;CZ8823;22,02 EUR;924,84
Карповые удилища;            Bull-dog Carp Rod, 390cm, 3,50lb, 3 sections;3,000;CZ8830;25,31 EUR;1063,02
Карповые удилища;            Camoupro Carp Rod, 12' 2,75lb, 2 sections (профессиональное карповое удилище,камуфлированное,360cm);;CZ0191;36,92 EUR;1550,64
Карповые удилища;            Camoupro Carp Rod, 12' 3,00lb, 2 sections;1,000;CZ8656;39,84 EUR;1673,28
Карповые удилища;            Camoupro Carp Rod, 12' 3,00lb, 3 sections;4,000;CZ8663;42,33 EUR;1777,86
Карповые удилища;            Camoupro Carp Rod, 13' 3,50lb, №50, 2 sections;4,000;CZ8687;49,67 EUR;2086,14
Карповые удилища;            Camoupro Carp Rod, 13' 3,50lb, 3 sections;4,000;CZ8670;45,18 EUR;1897,56
Карповые удилища;            Commando Carp Rod, 300cm, 3,00lb, 2 sections;4,000;CZ8793;13,47 EUR;565,74
Карповые удилища;            Commando Carp Rod, 360cm, 3,00lb, 2 sections;3,000;CZ8809;14,90 EUR;625,8
Карповые удилища;            Commando Carp Rod, 390cm, 3,50lb, 2 sections;4,000;CZ8816;18,47 EUR;775,74
Карповые удилища;            CZ Fanatic Plus 50 carp rod 12' (366cm) 3.0lbs (Двухсекционные профессиональные бойловые удилища с кольцом);1,000;CZ1626;54,80 EUR;2301,6
Карповые удилища;            CZ Fanatic Plus 50 carp rod 12' (366cm) 3.5lbs (Двухсекционные профессиональные бойловые удилища с кольцом);;CZ1633;56,94 EUR;2391,48
Карповые удилища;            CZ Fanatic Plus 50 carp rod 13' (396cm) 3.5lbs (Двухсекционные профессиональные бойловые удилища с кольцом);;CZ1640;62,49 EUR;2624,58
Карповые удилища;            CZ Fanatic Plus carp rod 12' (366cm) 2.75lbs (Двухсекционные профессиональные бойловые удилища);40,000;CZ1596;49,82 EUR;2092,44
Карповые удилища;            CZ Fanatic Plus carp rod 12' (366cm) 3.0lbs (Двухсекционные профессиональные бойловые удилища);6,000;CZ1602;51,24 EUR;2152,08
Карповые удилища;            CZ Fanatic Plus carp rod 12' (366cm) 3.5lbs (Двухсекционные профессиональные бойловые удилища);6,000;CZ1619;53,94 EUR;2265,48
Карповые удилища;            LionZoom 50 Carp rod, 360cm, 3.0lbs (Карповое удилище с большим 50 мм -ым кольцом);3,000;CZ1817;24,09 EUR;1011,78
Карповые удилища;            LionZoom 50 Carp rod, 390cm, 3.5lbs (Карповое удилище с большим 50 мм -ым кольцом);2,000;CZ1824;25,59 EUR;1074,78
Карповые удилища;            LionZoom Carp rod, 360cm, 2.75lbs (Карповое удилище);18,000;CZ1800;22,02 EUR;924,84
Карповые удилища;            Masterful Carp Rod, 10' 3,00lb, 2 sections;1,000;CZ8595;30,57 EUR;1283,94
Карповые удилища;            Masterful Carp Rod, 12' 2,75lb, 2 sections;;CZ8601;36,27 EUR;1523,34
Карповые удилища;            Masterful Carp Rod, 12' 3,00lb, 2 sections;3,000;CZ8618;36,27 EUR;1523,34
Карповые удилища;            Masterful Carp Rod, 12' 3,50lb, №50, 2 sections;2,000;CZ8625;41,97 EUR;1762,74
Карповые удилища;            Masterful Carp Rod, 13' 3,50lb, №50, 2 sections;5,000;CZ8632;46,25 EUR;1942,5
Карповые удилища;            Masterful Spod Rod, 12' 7,00lb, №50, 2 sections;3,000;CZ8649;46,68 EUR;1960,56
Карповые удилища;            Mesh Pro Carp Rod, 12', 3,00lb, 2 sections;3,000;CZ8847;25,59 EUR;1074,78
Карповые удилища;            Mesh Pro Carp Rod, 12', 3,00lb, 3 sections;10,000;CZ8854;26,30 EUR;1104,6
Карповые удилища;            Mesh Pro Carp Rod, 12', 3,50lb, №50, 2 sections;3,000;CZ8878;26,30 EUR;1104,6
Карповые удилища;            Mesh Pro Carp Rod, 13', 3,50lb, №50, 2 sections;4,000;CZ8885;27,72 EUR;1164,24
Карповые удилища;            Mesh Pro Carp Rod, 13', 3,50lb, 3 sections;6,000;CZ8861;27,72 EUR;1164,24
Карповые удилища;            MultiZoom Carp rod, 360cm, 60-120g (Карповое удилище);;CZ1749;15,62 EUR;656,04
Карповые удилища;            MultiZoom Carp rod, 390cm, 60-120g (Карповое удилище);;CZ1756;17,04 EUR;715,68
Карповые удилища;            TigerZoom Carp rod, 390cm, 70-140g (Карповое удилище);18,000;CZ1794;28,13 EUR;1181,46
Карповые удилища;            WolfZoom Carp rod, 390cm, 70-140g (Карповое удилище);18,000;CZ1770;25,13 EUR;1055,46
Карповые удилища;            BombZoom Surf rod, 390cm, 150-300g (Удилище с повышенным тестом,подходит и для закормки «ракетой»);9,000;CZ1831;28,44 EUR;1194,48
Карповые удилища;            BombZoom Surf rod, 420cm, 150-300g (Удилище с повышенным тестом,подходит и для закормки «ракетой»);5,000;CZ1848;31,14 EUR;1307,88
