кат;назва;наявність;код;опт;роздріб
Кобры,ракеты;            Bait Thrower, 22mm;4,000;CZ8472;8,18 EUR;343,56
Кобры,ракеты;            Bait Thrower, 25mm;2,000;CZ8489;8,93 EUR;375,06
Кобры,ракеты;            CZ Bait Sling L (D 68mm);8,000;CZ0139;2,09 EUR;87,78
Кобры,ракеты;            CZ Bait Sling M (D 57mm);8,000;CZ0122;1,88 EUR;78,96
Кобры,ракеты;            CZ Baiting spoon, 41cm (Лопатка для прикормок);;CZ3989;7,13 EUR;299,46
Кобры,ракеты;            CZ Baiting spoon, 47cm (Лопатка для прикормок);;CZ3972;8,18 EUR;343,56
Кобры,ракеты;            CZ SpoD  15, D 4,8x15cm (Прикормочная ракета-средняя);32,000;CZ1901;1,34 EUR;56,28
Кобры,ракеты;            CZ SpoD  20, D 5,0x20cm (Прикормочная ракета-большая);37,000;CZ1918;1,47 EUR;61,74
Кобры,ракеты;            Throwing Stick, 20mm;;CZ8038;4,28 EUR;179,76
Кобры,ракеты;            Throwing Stick, 24mm;;CZ8045;4,49 EUR;188,58
