кат;назва;наявність;код;опт;роздріб
Лески;            Bull-Dog Carp Line 1000m, 0,25mm, PT  8,80kg  (Леска,темно-зеленая);6,000;CZ3483;4,17 EUR;175,14
Лески;            Bull-Dog Carp Line 1000м, 0,28mm, PT 10,75kg (Леска,темно-зеленая);12,000;CZ2967;4,17 EUR;175,14
Лески;            Bull-Dog Carp Line 1000м, 0,31mm, PT 12,65kg (Леска,темно-зеленая);4,000;CZ2974;4,17 EUR;175,14
Лески;            Bull-Dog Carp Line 1000м, 0,35mm, PT 15,45kg (Леска,темно-зеленая);19,000;CZ2981;4,17 EUR;175,14
Лески;            Bull-Dog Carp Line 300m, 0,22mm, PT 6,90kg (Леска,темно-зеленая);;CZ1440;1,49 EUR;62,58
Лески;            Bull-Dog Carp Line 300m, 0,35mm,   PT 15,45kg (Леска,темно-зеленая);41,000;CZ2943;1,49 EUR;62,58
Лески;            Bull-Dog Carp Line 300м, 0,25mm,   PT 8,8kg     (Леска,темно-зеленая);13,000;CZ2912;1,49 EUR;62,58
Лески;            Bull-Dog Carp Line 300м, 0,28mm,   PT 10,75kg (Леска,темно-зеленая);80,000;CZ2929;1,49 EUR;62,58
Лески;            Bull-Dog Carp Line 300м, 0,31mm,   PT 12,65kg (Леска,темно-зеленая);60,000;CZ2936;1,49 EUR;62,58
Лески;            Bull-Dog Carp Line 300м, 0,40mm,   PT 19,35kg (Леска,темно-зеленая);52,000;CZ2950;1,49 EUR;62,58
Лески;            Bull-Dog Carp Line 800m, 0,40mm, PT 19,35kg (Леска,темно-зеленая);6,000;CZ1457;4,17 EUR;175,14
Лески;            Bull-Dog Fluo Carp 1000м, 0,25mm, 8,80kg  (Леска,флуо-салатовая);;CZ3490;4,17 EUR;175,14
Лески;            Bull-Dog Fluo Carp 1000м, 0,28mm,10,75kg (Леска,флуо-салатовая);;CZ3025;4,17 EUR;175,14
Лески;            Bull-Dog Fluo Carp 1000м, 0,31mm,12,65kg (Леска,флуо-салатовая);;CZ3032;4,17 EUR;175,14
