кат;назва;наявність;код;опт;роздріб
Лидкоры, поводковый материал;            CZ LeadCore (brown), 25lb, 10м (Ледкор со свинцовой вставкой-коричневый);;CZ6750;3,74 EUR;157,08
Лидкоры, поводковый материал;            CZ LeadCore (brown), 35lb, 10м (Ледкор со свинцовой вставкой-коричневый);;CZ6767;3,74 EUR;157,08
Лидкоры, поводковый материал;            CZ LeadCore (brown), 45lb, 7м (Ледкор со свинцовой вставкой-коричневый);;CZ6774;3,74 EUR;157,08
Лидкоры, поводковый материал;            Feeder Competition Leader line (transparent), 0,10mm, 1,80kg, 50m (Фидерный поводковый материал - пр;10,000;CZ2090;1,49 EUR;62,58
Лидкоры, поводковый материал;            Feeder Competition Leader line (transparent), 0,12mm, 2,60kg, 50m (Фидерный поводковый материал - пр;15,000;CZ2106;1,49 EUR;62,58
Лидкоры, поводковый материал;            Feeder Competition Leader line (transparent), 0,14mm, 3,50kg, 50m (Фидерный поводковый материал - пр;;CZ2113;1,49 EUR;62,58
Лидкоры, поводковый материал;            Feeder Competition Leader line (transparent), 0,16mm, 4,30kg, 50m (Фидерный поводковый материал - пр;9,000;CZ2120;1,49 EUR;62,58
Лидкоры, поводковый материал;            Feeder Competition Leader line (transparent), 0,18mm, 5,30kg, 50m (Фидерный поводковый материал - пр;16,000;CZ2137;1,49 EUR;62,58
Лидкоры, поводковый материал;            Feeder Competition Leader line (transparent), 0,20mm, 6,45kg, 50m (Фидерный поводковый материал - пр;12,000;CZ2144;1,49 EUR;62,58
Лидкоры, поводковый материал;            Feeder Competition Leader line (transparent), 0,22mm, 7,70kg, 50m (Фидерный поводковый материал - пр;46,000;CZ2151;1,49 EUR;62,58
Лидкоры, поводковый материал;            CZ HookLink 3x3 (brown), 15lb, 20м  (Шнур для поводка,плетение 3х3,быстро тонет);;CZ6804;2,97 EUR;124,74
Лидкоры, поводковый материал;            CZ HookLink 3x3 (brown), 25lb, 20м  (Шнур для поводка,плетение 3х3,быстро тонет);;CZ6811;2,97 EUR;124,74
Лидкоры, поводковый материал;            CZ HookLink 3x3 (brown), 35lb, 20м  (Шнур для поводка,плетение 3х3,быстро тонет);;CZ6828;2,97 EUR;124,74
Лидкоры, поводковый материал;            CZ Leader Line (olive), sinking, 0,10, 2,7kg, 10м (Плетенный шнур для поводков);32,000;CZ6866;1,28 EUR;53,76
Лидкоры, поводковый материал;            CZ Leader Line (olive), sinking, 0,14, 5,4kg, 10м (Плетенный шнур для поводков);20,000;CZ6873;1,28 EUR;53,76
Лидкоры, поводковый материал;            CZ Leader Line (olive), sinking, 0,18, 6,9kg, 10м (Плетенный шнур для поводков);20,000;CZ6880;1,28 EUR;53,76
Лидкоры, поводковый материал;            CZ Leader Line (olive), sinking, 0,22, 11,2kg, 10м (Плетенный шнур для поводков);20,000;CZ6897;1,28 EUR;53,76
Лидкоры, поводковый материал;            CZ SkinLine 4x4 (brown), 15lb, 20м (Шнур для поводка с оплеткой,с 4х4 плетением);;CZ6835;7,13 EUR;299,46
Лидкоры, поводковый материал;            CZ SkinLine 4x4 (brown), 25lb, 20м (Шнур для поводка с покрытием,с 4х4 плетением);;CZ6842;7,13 EUR;299,46
Лидкоры, поводковый материал;            CZ SkinLine 4x4 (brown), 35lb, 20м (Шнур для поводка с покрытием,с 4х4 плетением);;CZ6859;7,13 EUR;299,46
Лидкоры, поводковый материал;            CZ Skinline Stripper (Очиститель шнура + затягиватель узлов);;CZ0902;1,43 EUR;60,06
Лидкоры, поводковый материал;            Hooklink Abrasion Black, 25lb, 20м (Поводочный материал-черный);68,000;CZ1533;2,99 EUR;125,58
Лидкоры, поводковый материал;            Hooklink Mud Brown, 25lb, 20м (Поводочный материал - коричневый);231,000;CZ1519;2,48 EUR;104,16
Лидкоры, поводковый материал;            Hooklink Olive Green, 25lb, 20м (Поводочный материал - зеленый);16,000;CZ1502;2,48 EUR;104,16
Лидкоры, поводковый материал;            Lead core classic brown,45lb,10м (Ледкор со свинцовой вставкой-коричневый);173,000;CZ1458;4,02 EUR;168,84
Лидкоры, поводковый материал;            Lead core classic green,45lb,10м (Ледкор со свинцовой вставкой-зеленый);117,000;CZ1441;4,02 EUR;168,84
Лидкоры, поводковый материал;            Lead core kameleon 45 lb,10м (Ледкор со свинцовой вставкой-хамелион);102,000;CZ1465;4,02 EUR;168,84
Лидкоры, поводковый материал;            Skinline-Brown,20м(Поводочный материал с оплеткой-коричневый);397,000;CZ1489;5,18 EUR;217,56
Лидкоры, поводковый материал;            Skinline-Green, 25lb,20м(Поводочный материал с оплеткой-зеленый);315,000;CZ1472;5,18 EUR;217,56
Лидкоры, поводковый материал;            Skinlne Camou,25lb,20м(Поводочный материал с оплеткой-хамелион);308,000;CZ1496;5,18 EUR;217,56
