кат;назва;наявність;код;опт;роздріб
Маховые удилища;            BigCatch 40BBC fishing reel;;CZ8068;12,77 EUR;536,34
Маховые удилища;            BigCatch 50BBC fishing reel;4,000;CZ8075;13,47 EUR;565,74
Маховые удилища;            BigCatch 60BBC fishing reel;3,000;CZ8082;13,91 EUR;584,22
Маховые удилища;            Concord 8000F fishing reel;;CZ9233;56,87 EUR;2388,54
Маховые удилища;            CZ Black Ghost 3000BBC (катушка с бейтраннером с запасной графитовой шпулей,алюминиевая ручка,5+1BB);3,000;CZ0313;23,88 EUR;1002,96
Маховые удилища;            CZ Black Ghost 4000BBC (катушка с бейтраннером с запасной графитовой шпулей,алюминиевая ручка,5+1BB);2,000;CZ0320;24,87 EUR;1044,54
Маховые удилища;            CZ Black Ghost 5000BBC (катушка с бейтраннером с запасной графитовой шпулей,алюминиевая ручка,5+1BB);4,000;CZ0337;25,59 EUR;1074,78
Маховые удилища;            CZ Black Ghost 6000BBC (катушка с бейтраннером с запасной графитовой шпулей,алюминиевая ручка,5+1BB);;CZ0344;26,30 EUR;1104,6
Маховые удилища;            CZ Marshall 6000BBC Carp fishing reel (карповая катушка с бейтраннером,8+1BB);1,000;CZ1556;49,82 EUR;2092,44
Маховые удилища;            CZ Marshall 8000BBC Carp fishing reel (карповая катушка с бейтраннером,8+1BB);5,000;CZ1563;54,80 EUR;2301,6
Маховые удилища;            CZ MegaBite 6000BBC (Универсальная карповая катушка с бейтраннером,4+1BB,сбалансированный ротор,передаточное число-5,2:1,антиреверс,графитовый запасной барабан);4,000;CZ2067;22,02 EUR;924,84
Маховые удилища;            FANATIC 40BBC  (Карповая и фидерная катушка с бейтраннером,6+1BB, запасная шпуля, усиленный ролик,графитовый запасной барабан);9,000;CZ8099;19,89 EUR;835,38
Маховые удилища;            FANATIC 50BBC  (Карповая и фидерная катушка с бейтраннером,6+1BB, запасная шпуля, усиленный ролик,графитовый запасной барабан);5,000;CZ8105;20,60 EUR;865,2
Маховые удилища;            FANATIC 60BBC  (Карповая и фидерная катушка с бейтраннером,6+1BB, запасная шпуля, усиленный ролик,графитовый запасной барабан);2,000;CZ8112;21,32 EUR;895,44
Маховые удилища;            Jumbo 10000BBC reel;3,000;CZ8588;39,12 EUR;1643,04
Маховые удилища;            Multifish Carp 5000BBC (катушка с бейтраннером,1BB);5,000;CZ2755;9,20 EUR;386,4
Маховые удилища;            SPECIFIC 4000 BBC  (Катушка с задним тормозом, с металлической запасной шпулей);2,000;CZ2074;28,37 EUR;1191,54
Маховые удилища;            SPECIFIC 5000 BBC (Катушка с задним тормозом, с металлической запасной шпулей);1,000;CZ2081;29,15 EUR;1224,3
Маховые удилища;            SPECIFIC 6000 BBC (Катушка с задним тормозом, с металлической запасной шпулей);2,000;CZ5181;29,87 EUR;1254,54
