кат;назва;на¤вн≥сть;код;опт;роздр≥б
Мебель;            CADDAS Boat chair (Модочное кресло, размер: 50x40x100);;CZ4719;29,85 EUR;1253,7
Мебель;            Comfort Armchair (Комфортное рыбацкое кресло с подлокотниками и регулируемыми ножками и наклоном спинки, размер: 48x52x28/88см);;CZ0680;43,43 EUR;1824,06
Мебель;            Comfort Chair (Кресло- комфорт с регулируемыми ножками, размер: 48x52x28/88см);;CZ0673;29,85 EUR;1253,7
Мебель;            CZ Chair Rain Cover, 62x130x21cm;6,000;CZ0160;5,93 EUR;249,06
Мебель;            CZ Foldable Armchair, 53x43x41/94cm (—кладное кресло);;CZ1390;13,13 EUR;551,46
Мебель;            CZ Foldable Chair L (Розкладное кресло, размер:43x43x36/68 см.);;CZ3187;7,43 EUR;312,06
Мебель;            CZ Foldable Chair M (Розкладное кресло, размер: 39x39x34/62 см.);;CZ3170;7,19 EUR;301,98
Мебель;            CZ Foldable Chair S (Розкладное кресло, размер: 34x34x29/56 см.);;CZ3163;6,98 EUR;293,16
Мебель;            CZ Heavy duty 150+ armchair (60x57x49/110) (Ёкстра сильное рыбацкое кресло с подлокотниками,выдерживающее большой вес до 150 кг);9,000;CZ4726;59,93 EUR;2517,06
Мебель;            ECO Chair  (Кресло-еко с регулируемыми ножками, размер 47x40x23/71см);;CZ0666;20,63 EUR;866,46
Мебель;            Full Comfort Boilie Armchair (Широкое кресло с подлокотниками-полный комфорт с регулируемыми ножками и наклоном спинки);;CZ7986;48,38 EUR;2031,96
Мебель;            Robust Armchair;4,000;CZ7895;61,43 EUR;2580,06
Мебель;            Comfort Bedchair (Кресло кровать- комфорт на 6-х регулируемых ножках, легкомоющийс¤ материал,регулирукмая спинка);4,000;CZ0710;64,43 EUR;2706,06
Мебель;            CZ Bedchair Rain Cover, 86x215x21cm;1,000;CZ0177;8,63 EUR;362,46
Мебель;            ECO Bedchair (Кресло кровать на 4-х регулируемых ножках, легкомоющийс¤ материал,регулирукма¤ спинка, размер:184x69x37см.);;CZ0703;53,18 EUR;2233,56
Мебель;            Full Comfort Bedchair  (Кресло кровать-полный комфорт на 6-х регулируемых ножках, легкомоющийся материал);4,000;CZ0727;73,43 EUR;3084,06
Мебель;            Robust 150+ Heavy Duty Bedchair;;CZ7871;119,78 EUR;5030,76
Мебель;            Robust Flat Bedchair;3,000;CZ7888;86,93 EUR;3651,06
