кат;назва;наявн≥сть;код;опт;роздр≥б
Палатки, спальники, навесы;            ""FANATIC"" Shelter - (Рыболовная полупалатка ,размер: 270x230x140 см, 5000мм(водная шкала),вес палатки 8 кг,удобная и легкая установка,съЄмное износостойкое дно и колышки)";;CZ7979;85,35 EUR;3584,7
Палатки, спальники, навесы;            CADDAS Boat Tent - (Лодочная палатка с регулированой шириной  120-130 см., длиной 150-300см) 5000мм(водная шкала),,вес палатки 4 кг);18,000;CZ6910;44,85 EUR;1883,7
Палатки, спальники, навесы;            CZ Carp Expedition Bivvy 1, 280x215x135cm;;CZ0702;122,93 EUR;5163,06
Палатки, спальники, навесы;            CZ Carp Expedition Bivvy 2 Overwrap;1,000;CZ0696;64,13 EUR;2693,46
Палатки, спальники, навесы;            CZ Carp Expedition Bivvy 2, 300x270x140cm;;CZ0665;209,93 EUR;8817,06
Палатки, спальники, навесы;            CZ Carp Expedition Bivvy 3+1 Overwrap;1,000;CZ0689;82,35 EUR;3458,7
Палатки, спальники, навесы;            CZ Carp Expedition Bivvy 3+1, 390x330x165cm;;CZ0672;269,93 EUR;11337,06
Палатки, спальники, навесы;            Peg Set - (Набор  олышков для крепления палатки, 10шт );;CZ7672;7,28 EUR;305,76
Палатки, спальники, навесы;            CZ Sleeping bag holder(Сумка для спального мешка, размер : 35x55 см);;CZ3552;8,24 EUR;346,08
Палатки, спальники, навесы;            Extreme Sleeping Bag (Спальник экстримальных условий,по бокам молнии, оснащен специальной лентой для;;CZ9639;37,43 EUR;1572,06
