кат;назва;наявність;код;опт;роздріб
Пва материалы;            CZ Double ended plunger (ПВА утрамбовыватель для трубкы наполнителя);;CZ4740;1,13 EUR;47,46
Пва материалы;            PVA Bags 100x125мм 10шт (ПВА пакет);4,000;CZ8900;0,98 EUR;41,16
Пва материалы;            PVA Bags 70x200мм 10шт   (ПВА пакет);8,000;CZ8894;0,98 EUR;41,16
Пва материалы;            PVA Bullet Bag w. String&Holes 55x140мм,5шт  (ПВА пакет с отверстиями и с затягивающимся шнурком);10,000;CZ8917;1,08 EUR;45,36
Пва материалы;            PVA Bullet Bag w. String&Holes 65x190мм,5шт (ПВА пакет с отверстиями и с затягивающимся шнурком);12,000;CZ8924;1,16 EUR;48,72
Пва материалы;            PVA Deep Water Mesh, 37mmx5m;15,000;CZ8182;6,18 EUR;259,56
Пва материалы;            PVA Long Cast Mesh, 18mmx5m;10,000;CZ8175;4,14 EUR;173,88
Пва материалы;            PVA Narrow Mesh in Tube 23mmx5m (ПВА РУКАВ НА ТРУБКЕ );6,000;CZ8863;4,35 EUR;182,7
Пва материалы;            PVA Narrow Mesh Refill 23mmx5m (ПВА РУКАВ);1,000;CZ8870;3,68 EUR;154,56
Пва материалы;            PVA String extra strong 20m   (ШНУР ПВА ЭКСТРА СИЛЬНЫЙ);86,000;CZ8993;1,95 EUR;81,9
Пва материалы;            PVA String strong 20m  (ШНУР ПВА);30,000;CZ8986;1,44 EUR;60,48
Пва материалы;            PVA Tape 10мм x 10м, 38?  (ПВА ЛЕНТА);17,000;CZ8979;0,95 EUR;39,9
Пва материалы;            PVA Tube 45mmx5m (ПВА РУКАВ);20,000;CZ8931;1,82 EUR;76,44
Пва материалы;            PVA Tube 65mmx5m (ПВА РУКАВ);;CZ8948;2,15 EUR;90,3
Пва материалы;            PVA Wide Mesh in Tube 37mmx5m (ПВА РУКАВ НА ТРУБКЕ );23,000;CZ8832;5,07 EUR;212,94
Пва материалы;            PVA Wide Mesh Refill 37mmx5m (ПВА РУКАВ);;CZ8849;4,28 EUR;179,76
