кат;назва;наявність;код;опт;роздріб
Подставки и держатели;            Bank Stick 50cм (Подставка с вилкой под удилище);;CZ8627;0,66 EUR;27,72
Подставки и держатели;            Bank Stick 70cм (Подставка с вилкой под удилище);;CZ8634;0,74 EUR;31,08
Подставки и держатели;            CZ Beach Rod Holder (stainless steel), ?35x285mm (Береговой держатель удилища,нержавеющая сталь);4,000;CZ4337;2,63 EUR;110,46
Подставки и держатели;            CZ Black Power, 122-234cм (Телескопическая подставка -усилена);12,000;CZ3033;4,43 EUR;186,06
Подставки и держатели;            CZ Black Power, 38-71cм   (Телескопическая подставка -усилена);;CZ3002;2,48 EUR;104,16
Подставки и держатели;            CZ Black Power, 61-114cм (Телескопическая подставка -усилена);8,000;CZ3019;2,78 EUR;116,76
Подставки и держатели;            CZ Black Power, 76-145cм (Телескопическая подставка -усилена);5,000;CZ3026;3,38 EUR;141,96
Подставки и держатели;            CZ Easy Alu Buzz Bar, 2 rod, 30cm;10,000;CZ1215;2,69 EUR;112,98
Подставки и держатели;            CZ Easy Alu Buzz Bar, 3 rod, 40cm;14,000;CZ1222 ;2,93 EUR;123,06
Подставки и держатели;            CZ Strong Buzz Bar, 2 rod, 30cm;4,000;CZ1239 ;4,80 EUR;201,6
Подставки и держатели;            CZ Strong Buzz Bar, 3 rod, 40cm;17,000;CZ1246 ;5,24 EUR;220,08
Подставки и держатели;            Tele Bank Stick 55cм  (Телескопическая подставка с вилкой);;CZ8641;1,88 EUR;78,96
Подставки и держатели;            Tele Bank Stick 75cм  (Телескопическая подставка с вилкой);;CZ8658;2,18 EUR;91,56
Подставки и держатели;            Tele Electric Bait Indicator Holder 55cм (Телескопическая подставка);;CZ8665;2,39 EUR;100,38
Подставки и держатели;            Tele Electric Bait Indicator Holder 75cм (Телескопическая подставка);;CZ8672;2,69 EUR;112,98
Подставки и держатели;            Anti draw back rest  (Антискользящая вилка держатель);6,000;CZ1175;2,39 EUR;100,38
Подставки и держатели;            CZ Alarm Tilt Adapter  (Быстросъемный адаптер с возможностью изменение угла наклона);3,000;CZ7719;3,98 EUR;167,16
Подставки и держатели;            CZ Dip Tube Rod Rest, adjustable (14x23cm)(Подставка под фидер);10,000;CZ3798;2,22 EUR;93,24
Подставки и держатели;            CZ Feeder Competition Back Feeder Rod Rest, 50cm (Подставка под фидерные удилища);3,000;CZ1383;2,84 EUR;119,28
Подставки и держатели;            CZ Feeder Competition Front Feeder Rod Rest, 30cm (Подставка под фидерные удилища);5,000;CZ1369;2,63 EUR;110,46
Подставки и держатели;            CZ Feeder Competition L-Shape Rod Rest (Подставка под фидерные удилища);;CZ0146;2,93 EUR;123,06
Подставки и держатели;            CZ Feeder Competition V-Shape Rod Rest (Подставка под фидерные удилища);6,000;CZ0153;2,93 EUR;123,06
Подставки и держатели;            CZ Quick Adaptor, standard  (Быстросъемный адаптер-стандартный);7,000;CZ2050;2,78 EUR;116,76
Подставки и держатели;            CZ Quick Release Adaptor,small  (Быстросъемный адаптер-маленький);8,000;CZ2043;2,24 EUR;94,08
Подставки и держатели;            CZ Rubber Head Rod (Резиновая головка держатель под удилище);26,000;CZ7726;0,83 EUR;34,86
Подставки и держатели;            CZ Tube Rod rest, adjustable (Подставка под фидер);7,000;CZ3118;2,22 EUR;93,24
Подставки и держатели;            CZ U-Head Rod Rest  ( U - образная головка держатель под удилище);;CZ7733;0,83 EUR;34,86
Подставки и держатели;            CZ V-Head Rod Rest  (V - образная головка держатель под удилище);21,000;CZ7740;0,83 EUR;34,86
Подставки и держатели;            Feeder Rod Rest (подставка под фидер);8,000;CZ8366;4,49 EUR;188,58
Подставки и держатели;            Quick release adaptor  (Быстросъемный адаптер );364,000;CZ1205;2,24 EUR;94,08
