кат;назва;наявність;код;опт;роздріб
Поплавки;            CZ MultiCatch Float 1, 4g (Поплавок для стоячей воды,подходить для ночной рыбалки);16,000;CZ3742;0,60 EUR;25,2
Поплавки;            CZ MultiCatch Float 1, 5g (Поплавок для стоячей воды,подходить для ночной рыбалки);27,000;CZ3759;0,63 EUR;26,46
Поплавки;            CZ MultiCatch Float 1, 6g (Поплавок для стоячей воды,подходить для ночной рыбалки);28,000;CZ3766;0,66 EUR;27,72
Поплавки;            CZ MultiCatch Float 1, 8g (Поплавок для стоячей воды,подходить для ночной рыбалки);28,000;CZ3773;0,71 EUR;29,82
Поплавки;            CZ MultiCatch Float 10, 2g (сменая антена,для маховой и традицион.рыбалки);1,000;CZ4107;0,59 EUR;24,78
Поплавки;            CZ MultiCatch Float 10, 3g (сменая антена,для маховой и традицион.рыбалки);11,000;CZ4114;0,59 EUR;24,78
Поплавки;            CZ MultiCatch Float 10, 4g (сменая антена,для маховой и традицион.рыбалки);14,000;CZ4121;0,60 EUR;25,2
Поплавки;            CZ MultiCatch Float 10, 5g (сменая антена,для маховой и традицион.рыбалки);15,000;CZ4138;0,60 EUR;25,2
Поплавки;            CZ MultiCatch Float 16, 3g (попловок для маховой рыбалки с бамбуковой антеной);13,000;CZ4381;0,62 EUR;26,04
Поплавки;            CZ MultiCatch Float 2, 3g  (для стоячей воды с встроенным грузилом);19,000;CZ3780;0,66 EUR;27,72
Поплавки;            CZ MultiCatch Float 2, 4g  (для стоячей воды с встроенным грузилом);19,000;CZ3797;0,74 EUR;31,08
Поплавки;            CZ MultiCatch Float 2, 6g  (для стоячей воды с встроенным грузилом);10,000;CZ3803;0,83 EUR;34,86
Поплавки;            CZ MultiCatch Float 2, 8g  (для стоячей воды с встроенным грузилом);10,000;CZ3810;0,93 EUR;39,06
Поплавки;            CZ MultiCatch Float 3, 3g (для стоячей воды подходить для ночной рыбалки);14,000;CZ3827;0,60 EUR;25,2
Поплавки;            CZ MultiCatch Float 3, 4g (для стоячей воды подходить для ночной рыбалки);14,000;CZ3834;0,60 EUR;25,2
Поплавки;            CZ MultiCatch Float 3, 5g (для стоячей воды подходить для ночной рыбалки);20,000;CZ3841;0,63 EUR;26,46
Поплавки;            CZ MultiCatch Float 3, 6g (для стоячей воды подходить для ночной рыбалки);23,000;CZ3858;0,66 EUR;27,72
Поплавки;            CZ MultiCatch Float 4, 5g (с встроенным грузилом,подходить для ночной рыбалки);;CZ3865;0,66 EUR;27,72
Поплавки;            CZ MultiCatch Float 4, 7g (с встроенным грузилом,подходить для ночной рыбалки);1,000;CZ3872;0,74 EUR;31,08
Поплавки;            CZ MultiCatch Float 5, 6g  (для стоячей воды подходить для ночной рыбалки);5,000;CZ3902;0,63 EUR;26,46
Поплавки;            CZ MultiCatch Float 6, 3g (поплавок для стоячей воды,для глубокой воды);20,000;CZ3940;0,60 EUR;25,2
Поплавки;            CZ MultiCatch Float 6, 4g (поплавок для стоячей воды,для глубокой воды);11,000;CZ3957;0,60 EUR;25,2
Поплавки;            CZ MultiCatch Float 6, 5g (поплавок для стоячей воды,для глубокой воды);11,000;CZ3964;0,63 EUR;26,46
Поплавки;            CZ MultiCatch Float 6, 6g (поплавок для стоячей воды,для глубокой воды);34,000;CZ3971;0,63 EUR;26,46
Поплавки;            CZ MultiCatch Float 7, 10g (с встроенным грузилом,подходить для ночной рыбалки);8,000;CZ4015;0,83 EUR;34,86
Поплавки;            CZ MultiCatch Float 7, 3g (с встроенным грузилом,подходить для ночной рыбалки);;CZ3988;0,63 EUR;26,46
Поплавки;            CZ MultiCatch Float 7, 5g (с встроенным грузилом,подходить для ночной рыбалки);10,000;CZ3995;0,66 EUR;27,72
Поплавки;            CZ MultiCatch Float 7, 8g (с встроенным грузилом,подходить для ночной рыбалки);7,000;CZ4008;0,78 EUR;32,76
Поплавки;            CZ MultiCatch Float 8, 12g (карповый тип,подходит и для медленного течения);29,000;CZ4053;0,78 EUR;32,76
Поплавки;            CZ MultiCatch Float 8, 3g (карповый тип,подходит и для медленного течения);14,000;CZ4022;0,60 EUR;25,2
Поплавки;            CZ MultiCatch Float 8, 5g (карповый тип,подходит и для медленного течения);27,000;CZ4039;0,63 EUR;26,46
Поплавки;            CZ MultiCatch Float 8, 8g  (карповый тип,подходит и для медленного течения);28,000;CZ4046;0,66 EUR;27,72
Поплавки;            CZ MultiCatch Float 9, 10g (для стоячей воды подходить для ночной рыбалки);9,000;CZ4077;0,78 EUR;32,76
Поплавки;            CZ MultiCatch Float 9, 12g (для стоячей воды подходить для ночной рыбалки);19,000;CZ4084;0,83 EUR;34,86
Поплавки;            CZ MultiCatch Float 9, 15g (для стоячей воды подходить для ночной рыбалки);10,000;CZ4091;0,93 EUR;39,06
Поплавки;            CZ MultiCatch Float 9, 8g (для стоячей воды подходить для ночной рыбалки);36,000;CZ4060;0,72 EUR;30,24
