кат;назва;наявність;код;опт;роздріб
Род - поды;            Alu Rod Pod (Длина регулируется в пределах 77-121 см, вес 2,25 кг);;CZ0544;44,85 EUR;1883,7
Род - поды;            Camou 3 rod pod;;CZ8311;73,20 EUR;3074,4
Род - поды;            Camou 4 rod pod;;CZ8304;74,85 EUR;3143,7
Род - поды;            CZ Anti-theft Alarm (Противоугонная сигнализация с датчиком движения для род-подов);4,000;CZ1680;8,93 EUR;375,06
Род - поды;            CZ Feeder Competition Side Rod Rest (Подставка для удилищ);3,000;CZ1345;25,43 EUR;1068,06
Род - поды;            CZ Tripod  (Длина регулируется в пределах  55-159 см.);2,000;CZ0568;12,68 EUR;532,56
Род - поды;            Easy Rod Pod;;CZ7840;12,68 EUR;532,56
Род - поды;            Elite Rod Pod  (Для 4-х удилищ, длина регулируется в пределах 87-144 см, вес 3,25 кг. );2,000;CZ0551;74,93 EUR;3147,06
Род - поды;            Fanatic 3 Rod Pod ( Длина регулируется в пределах 75-122 см, вес 3,5 кг.);;CZ0537;62,93 EUR;2643,06
Род - поды;            Fanatic 4 Rod Pod (Для 4-х удилищ, длина регулируется в пределах 75-122 см, вес 3,5 кг.);;CZ3132;65,93 EUR;2769,06
Род - поды;            KATIUSHA rod pod;;CZ8298;88,43 EUR;3714,06
Род - поды;            Standard Rod Pod (Длина регулируется в пределах 76-129 см, вес 1,8 кг);2,000;CZ0520;37,43 EUR;1572,06
