кат;назва;наявність;код;опт;роздріб
Сигнализаторы, свингера;            Bite Indicator L, red, yellow, green, 3pcs;7,000;CZ8120;0,38 EUR;15,96
Сигнализаторы, свингера;            Bite Indicator S, red, yellow, green, 3pcs;36,000;CZ8137;0,38 EUR;15,96
Сигнализаторы, свингера;            Bite Indicator, S04, blue (Свингер на цепочке, синий);;CZ8014;2,63 EUR;110,46
Сигнализаторы, свингера;            Bite Indicator, S04, green (Свингер на цепочке, зеленый);;CZ8007;2,63 EUR;110,46
Сигнализаторы, свингера;            Bite Indicator, S04, red (Свингер на цепочке, красный);;CZ7987;2,63 EUR;110,46
Сигнализаторы, свингера;            Bite Indicator, S04, yellow (Свингер на цепочке, желтый);;CZ7994;2,63 EUR;110,46
Сигнализаторы, свингера;            CZ Bite Indicator 2in1, S05, blue (Свингер,световая индикация-LED - синий);;CZ1116;2,99 EUR;125,58
Сигнализаторы, свингера;            CZ Bite Indicator 2in1, S05, green (Свингер,световая индикация-LED - зеленый);;CZ1109;2,99 EUR;125,58
Сигнализаторы, свингера;            CZ Bite Indicator 2in1, S05, red (Свингер,световая индикация-LED - красный);10,000;CZ1086;2,99 EUR;125,58
Сигнализаторы, свингера;            CZ Bite Indicator 2in1, S05, yellow (Свингер,световая индикация-LED - желтый);9,000;CZ1093;2,99 EUR;125,58
Сигнализаторы, свингера;            CZ Bite Indicator, S01, blue  (СИНИЙ , LED СВЕТИТСЯ);;CZ3537;5,93 EUR;249,06
Сигнализаторы, свингера;            CZ Bite Indicator, S01, green  (ЗЕЛЕНЫЙ , LED СВЕТИТСЯ);;CZ3520;5,93 EUR;249,06
Сигнализаторы, свингера;            CZ Bite Indicator, S01, red  (КРАСНЫЙ , LED СВЕТИТСЯ);;CZ3506;5,93 EUR;249,06
Сигнализаторы, свингера;            CZ Bite Indicator, S01, yellow (ЖЕЛТЫЙ , LED СВЕТИТСЯ);;CZ3513;5,93 EUR;249,06
Сигнализаторы, свингера;            CZ Bite Indicator, S02, blue     (СИНИЙ , LED СВЕТИТСЯ);;CZ3575;3,98 EUR;167,16
Сигнализаторы, свингера;            CZ Bite Indicator, S02, green    (ЗЕЛЕНЫЙ , LED СВЕТИТСЯ);;CZ3568;3,98 EUR;167,16
Сигнализаторы, свингера;            CZ Bite Indicator, S02, red    (КРАСНЫЙ , LED СВЕТИТСЯ);;CZ3544;3,98 EUR;167,16
Сигнализаторы, свингера;            CZ Bite Indicator, S02, yellow   (ЖЕЛТЫЙ , LED СВЕТИТСЯ);11,000;CZ3551;3,98 EUR;167,16
Сигнализаторы, свингера;            CZ Bite Indicator, S03, blue  (НА ЦЕПОЧКЕ,СИНИЙ);3,000;CZ3612;2,82 EUR;118,44
Сигнализаторы, свингера;            CZ Bite Indicator, S03, green (НА ЦЕПОЧКЕ,ЗЕЛЕНЫЙ);3,000;CZ3605;2,82 EUR;118,44
Сигнализаторы, свингера;            CZ Bite Indicator, S03, red  (НА ЦЕПОЧКЕ,КРАСНЫЙ);2,000;CZ3582;2,82 EUR;118,44
Сигнализаторы, свингера;            CZ Bite Indicator, S03, yellow  (НА ЦЕПОЧКЕ,ЖЕЛТЫЙ);4,000;CZ3599;2,82 EUR;118,44
Сигнализаторы, свингера;            6th Sense 3+1 Bite Alarm Set;;CZ7956;89,85 EUR;3773,7
Сигнализаторы, свингера;            6th Sense 4+1 Bite Alarm Set;;CZ7963;112,43 EUR;4722,06
Сигнализаторы, свингера;            Bite Alarm FSI (Сигнализатор поклевки);17,000;CZ7826;5,24 EUR;220,08
Сигнализаторы, свингера;            Bite Alarm TT-1 (Цифровой сигнализатор клева);9,000;CZ1697;4,43 EUR;186,06
Сигнализаторы, свингера;            Bite Alarm ZRX (Цифровой сигнализатор клева);5,000;CZ1833;7,88 EUR;330,96
Сигнализаторы, свингера;            CZ Bite alarm XTR (Эектронный индикатор клева, цифровой сигнализатор);;CZ3156;9,68 EUR;406,56
Сигнализаторы, свингера;            CZ FLAT PROF bite alarm set (Профессиональный набор электронных сигнализаторов поклевки);;CZ3125;67,43 EUR;2832,06
Сигнализаторы, свингера;            CZ Illuminated Snag bar, blue (Фиксатор удилищ,встроенная светодиодная подсветка);5,000;CZ1598;4,43 EUR;186,06
Сигнализаторы, свингера;            CZ Illuminated Snag bar, green (Фиксатор удилищ,встроенная светодиодная подсветка);3,000;CZ1581;4,43 EUR;186,06
Сигнализаторы, свингера;            CZ Illuminated Snag bar, yellow (Фиксатор удилищ,встроенная светодиодная подсветка);7,000;CZ1574;4,43 EUR;186,06
Сигнализаторы, свингера;            Illuminated Snag bar, red (Фиксатор удилищ,встроенная светодиодная подсветка);9,000;CZ1567;4,43 EUR;186,06
Сигнализаторы, свингера;            Messenger 2+1 Bite Alarm Set (Набор цифрових сигнализаторов с пейджером 2+1,водонепроницаемый);;CZ0603;29,93 EUR;1257,06
Сигнализаторы, свингера;            Snag Bar;13,000;CZ8021;2,18 EUR;91,56
