кат;назва;наявність;код;опт;роздріб
Тройники;            Predator-Z O-Plus Soft Lure Wire 5,5kg, 7,5cm, №8, 3pcs;10,000;CZ1260;1,28 EUR;53,76
Тройники;            Predator-Z O-Plus Soft Lure Wire 5,5kg, 8,5cm, №6, 3pcs;10,000;CZ1284;1,28 EUR;53,76
Тройники;            Predator-Z Treble Hook №1, (10 штук в упаковке(Тройник));;CZ5449;2,48 EUR;104,16
Тройники;            Predator-Z Treble Hook №1/0,  (10 штук в упаковке(Тройник));;CZ5432;2,78 EUR;116,76
Тройники;            Predator-Z Treble Hook №10, (10 штук в упаковке(Тройник));7,000;CZ5494;2,09 EUR;87,78
Тройники;            Predator-Z Treble Hook №12,10 шт/уп (тройник);5,000;CZ0085;2,09 EUR;87,78
Тройники;            Predator-Z Treble Hook №2, (10 штук в упаковке(Тройник));2,000;CZ5456;2,54 EUR;106,68
Тройники;            Predator-Z Treble Hook №2/0,  (10 штук в упаковке(Тройник));2,000;CZ5425;2,93 EUR;123,06
Тройники;            Predator-Z Treble Hook №3/0, (10 штук в упаковке(Тройник));4,000;CZ5418;3,74 EUR;157,08
Тройники;            Predator-Z Treble Hook №4, (10 штук в упаковке(Тройник));2,000;CZ5463;2,24 EUR;94,08
Тройники;            Predator-Z Treble Hook №6, (10 штук в упаковке(Тройник));5,000;CZ5470;2,09 EUR;87,78
Тройники;            Predator-Z Treble Hook №8, (10 штук в упаковке(Тройник));6,000;CZ5487;2,09 EUR;87,78
