кат;назва;наявн≥сть;код;опт;роздр≥б
Универсальные коробки;            4 comp. Assortment box (10x7x2см.);;CZ2578;0,53 EUR;22,26
Универсальные коробки;            6 comp. Assortment box (10x7x2см.);3,000;CZ2592;0,59 EUR;24,78
Универсальные коробки;            8 comp. Assortment box (10x7x2см.);2,000;CZ2585;0,59 EUR;24,78
Универсальные коробки;            Carp Accessories Box, 29x23x5cm;1,000;CZ8434;8,18 EUR;343,56
Универсальные коробки;            Carp Box (27x20x6см.);;CZ2523;8,78 EUR;368,76
Универсальные коробки;            CZ Feeder Box (35,8x23,5x8,0cm) (Фидерная коробка);;CZ2135;5,93 EUR;249,06
Универсальные коробки;            CZ Float Tube L, ?7,5x47-71,5cm (Тубус для поплавков);2,000;CZ0627;5,03 EUR;211,26
Универсальные коробки;            CZ Float Tube M, ?5,5x34-61cm (Тубус для поплавков);4,000;CZ0610;2,93 EUR;123,06
Универсальные коробки;            CZ MultiCarp Tackle Box (46x24x32cm);;CZ7856;22,43 EUR;942,06
Универсальные коробки;            CZ Tackle Box w. 2 drawers (29,4x18,7x15см.);;CZ7467;6,72 EUR;282,24
Универсальные коробки;            CZ Tackle Box w. 3 drawers (36,8x21,4x20см.);;CZ7849;10,43 EUR;438,06
Универсальные коробки;            CZ Tackle Box, L  (37x22,2x19,7см.);1,000;CZ0452;14,93 EUR;627,06
Универсальные коробки;            CZ Tackle Box, M   (36,6x19,8x16,5см.);8,000;CZ0445;11,24 EUR;472,08
Универсальные коробки;            CZ Tackle Box, XL  (46x28,2x22,1см.);3,000;CZ0469;22,43 EUR;942,06
Универсальные коробки;            CZ Tackle Box, XXL   (46x28,2x25,3см.);;CZ0476;26,93 EUR;1131,06
Универсальные коробки;            Feeder Box, 39x27x12cm (фидерный ящик);2,000;CZ8427;16,43 EUR;690,06
Универсальные коробки;            Float Box L, 32x11x4cm ( оробка для сохранения поплавков);;CZ9240;2,63 EUR;110,46
Универсальные коробки;            Float Box XL, 39,5x11x4cm ( оробка для сохранения поплавков);;CZ9257;2,09 EUR;87,78
Универсальные коробки;            Magnetic Box, 12x8x1,6cm;3,000;CZ8441;2,99 EUR;125,58
Универсальные коробки;            Plastic box (11?9.5?2.5cm)(Пластмасовая коробка);2,000;CZ4276;1,43 EUR;60,06
Универсальные коробки;            Plastic box (12.2?10.5?3.4cm) (Пластмассовая коробка для мелочей);9,000;CZ4269;1,43 EUR;60,06
Универсальные коробки;            Plastic box (13.3?7.2?2.9cm) (Пластмасовая коробка);6,000;CZ4245;0,74 EUR;31,08
Универсальные коробки;            Plastic box (17.8?9.4?3cm) (Пластмасовая коробка);11,000;CZ4252;1,13 EUR;47,46
Универсальные коробки;            Plastic box (31.5?22.8?5cm)(Пластмасовая коробка);;CZ4290;4,13 EUR;173,46
Универсальные коробки;            Plastic box (35.8?23.5?5cm)(Пластмасовая коробка);;CZ4283;5,24 EUR;220,08
Универсальные коробки;            Rig Box  (32x8x2см.);12,000;CZ2608;2,99 EUR;125,58
Универсальные коробки;            Stark Seat Box  (38x26x38см.);3,000;CZ0840;19,43 EUR;816,06
