кат;назва;наявн≥сть;код;опт;роздр≥б
Фидерные катушки;            BULLDOG 40R ( лассическая катушка с задним тормозом,6+1BB,металлический барабан,усиленный ролик, складная ручка);20,000;CZ8037;15,62 EUR;656,04
Фидерные катушки;            BULLDOG 60R ( лассическая катушка с задним тормозом,6+1BB,металлический барабан, усиленный ролик, складная ручка);44,000;CZ8051;17,04 EUR;715,68
Фидерные катушки;            Carpex 40R fishing reel;6,000;CZ8006;9,92 EUR;416,64
Фидерные катушки;            Carpex 50R fishing reel;7,000;CZ8013;10,62 EUR;446,04
Фидерные катушки;            CZ Black Ghost 4000RD fishing reel (универсальная катушка,с запасной графитовой шпулей,5+1BB);2,000;CZ0351;17,04 EUR;715,68
Фидерные катушки;            CZ Black Ghost 5000RD fishing reel (универсальная катушка,с запасной графитовой шпулей,5+1BB);4,000;CZ0368;17,75 EUR;745,5
Фидерные катушки;            CZ Black Ghost 6000RD fishing reel (универсальная катушка,с запасной графитовой шпулей,5+1BB);3,000;CZ0375;18,47 EUR;775,74
Фидерные катушки;            CZ KID 200F Reel (ƒетская катушка);12,000;CZ7680;2,79 EUR;117,18
Фидерные катушки;            Feeder Competition FeederCast 6000F reel;12,000;CZ9226;26,73 EUR;1122,66
Фидерные катушки;            Feeder Reel 30F;;CZ2180;18,47 EUR;775,74
Фидерные катушки;            Feeder Reel 50F;;CZ2197;19,61 EUR;823,62
