кат;назва;на¤вн≥сть;код;опт;роздр≥б
Фидерные удилища;            Dumper Feeder Rod, 360cm, 60-120g;3,000;CZ8724;17,04 EUR;715,68
Фидерные удилища;            Dumper Feeder Rod, 390cm, 70-140g;4,000;CZ8731;19,17 EUR;805,14
Фидерные удилища;            Feeder Competition 2in1 Feeder Rod, 10'-12', medium;1,000;CZ8380;42,69 EUR;1792,98
Фидерные удилища;            Feeder Competition 2in1 Feeder Rod, 11'-13', medium heavy;2,000;CZ8397;44,12 EUR;1853,04
Фидерные удилища;            Feeder Competition Serie A rod, 360cm, 120g;2,000;CZ8694;36,27 EUR;1523,34
Фидерные удилища;            Feeder Competition Serie A rod, 390cm, 160g;3,000;CZ8700;39,84 EUR;1673,28
Фидерные удилища;            Feeder Competition Serie A rod, 420cm, 180g;8,000;CZ8717;42,54 EUR;1786,68
Фидерные удилища;            LionZoom Feeder rod, 360cm, 40-90g (Фидерное удилище,запасные кончики - 3 шт);4,000;CZ1701;31,29 EUR;1314,18
Фидерные удилища;            LionZoom Feeder rod, 390cm, 50-100g (Фидерное удилище,запасные кончики - 3 шт);2,000;CZ1718;34,14 EUR;1433,88
Фидерные удилища;            LionZoom Heavy Plus Feeder rod, 360cm, 70-140g (”силенный фидер,запасные кончики - 3 шт);2,000;CZ1725;34,85 EUR;1463,7
Фидерные удилища;            LionZoom Heavy Plus Feeder rod, 390cm, 80-160g (”силенный фидер,запасные кончики - 3 шт);;CZ1732;36,99 EUR;1553,58
Фидерные удилища;            Torp Feeder Rod, 360cm, 70-130g;2,000;CZ8748;22,74 EUR;955,08
Фидерные удилища;            Torp Feeder Rod, 390cm, 80-150g;4,000;CZ8755;25,59 EUR;1074,78
Фидерные удилища;            Trend Feeder Rod, 360cm, 160g;3,000;CZ8762;32,57 EUR;1367,94
Фидерные удилища;            Trend Feeder Rod, 390cm, 180g;2,000;CZ8779;34,85 EUR;1463,7
Фидерные удилища;            Trend Feeder Rod, 420cm, 210g;2,000;CZ8786;39,12 EUR;1643,04
Фидерные удилища;            Multifish Telefeeder 300cm, 20-60g, 6 sections (телескопическое фидерное удилище);;CZ0399;11,34 EUR;476,28
Фидерные удилища;            Multifish Telefeeder 360cm, 30-80g, 7 sections (телескопическое фидерное удилище);2,000;CZ0405;13,47 EUR;565,74
