кат;назва;наявн≥сть;код;опт;роздр≥б
Шнуры;            Allround Braided Fishing Line (green), 0,12mm, 6,30kg, 110m (Универсальный шнур Allround - зеленый);6,000;CZ0245;4,43 EUR;186,06
Шнуры;            Allround Braided Fishing Line (green), 0,14mm, 9,43kg, 110m (Универсальный шнур Allround - зеленый);8,000;CZ0252;4,43 EUR;186,06
Шнуры;            Allround Braided Fishing Line (green), 0,16mm, 10,87kg, 110m (Универсальный шнур Allround - зеленый);8,000;CZ0269;4,43 EUR;186,06
Шнуры;            Allround Braided Fishing Line (green), 0,18mm, 13,76kg, 110m (Универсальный шнур Allround - зеленый);1,000;CZ0276;4,43 EUR;186,06
Шнуры;            Allround Braided Fishing Line (green), 0,20mm, 19,02kg, 110m (Универсальный шнур Allround - зеленый);;CZ0283;4,43 EUR;186,06
Шнуры;            Allround Braided Fishing Line (green), 0,22mm, 20,92kg, 110m (Универсальный шнур Allround - зеленый);4,000;CZ0290;4,43 EUR;186,06
Шнуры;            Allround Braided Fishing Line (green), 0,25mm, 22,92kg, 110m (Универсальный шнур Allround - зеленый);4,000;CZ0306;4,43 EUR;186,06
Шнуры;            Braid Zoom PWR-X braided  line (fluo), 0,10, 6,8kg, 120m  (Екстра сильный - ФЋУќ,антиузелковость, не растягивается,круглый);2,000;CZ0278;11,24 EUR;472,08
Шнуры;            Braid Zoom PWR-X braided  line (fluo), 0,12, 9,1kg, 120m  (Екстра сильный - ФЋУќ,антиузелковость, не растягивается,круглый);;CZ0285;11,24 EUR;472,08
Шнуры;            Braid Zoom PWR-X braided  line (fluo), 0,14, 11,2kg, 120m (Екстра сильный - ФЋУќ,антиузелковость, не растягивается,круглый);5,000;CZ0292;11,24 EUR;472,08
Шнуры;            Braid Zoom PWR-X braided  line (fluo), 0,18, 14,8kg, 120m (Екстра сильный - ФЋУќ,антиузелковость, не растягивается,круглый);1,000;CZ0308;11,24 EUR;472,08
