кат;назва;на¤вн≥сть;код;опт;роздр≥б
Аксессуары1;            CZ Pocket Hook sharpener;1,000;CZ3361;2,03 EUR;85,26
Аксессуары1;            Predator-Z Cross-Line Rolling Balance №1/0, 2pcs;42,000;CZ4184;0,74 EUR;31,08
Аксессуары1;            Predator-Z Cross-Line Rolling Balance №2, 2pcs;38,000;CZ4191;0,68 EUR;28,56
Аксессуары1;            Predator-Z Cross-Line Rolling Balance №3/0, 2pcs;48,000;CZ4177;0,83 EUR;34,86
Аксессуары1;            Predator-Z Cross-Line Rolling Swivel, №2, (,10 штук в уп.(вертлюг));25,000;CZ5531;1,13 EUR;47,46
Аксессуары1;            Predator-Z Cross-Line Rolling Swivel, №4,  (,10 штук в уп.(вертлюг));;CZ5548;0,98 EUR;41,16
Аксессуары1;            Predator-Z Cross-Line Rolling Swivel, №6, (,10 штук в уп.(вертлюг));;CZ5555;0,90 EUR;37,8
Аксессуары1;            Predator-Z Drop Shot Swivel №3x4, (10 штук в упаковке(вертлюг));14,000;CZ5500;1,43 EUR;60,06
Аксессуары1;            Predator-Z Drop Shot Swivel №6x7, (10 штук в упаковке(вертлюг));20,000;CZ5517;1,28 EUR;53,76
Аксессуары1;            Predator-Z Drop Shot Swivel №8x10, (10 штук в упаковке(вертлюг));4,000;CZ5524;1,13 EUR;47,46
Аксессуары1;            Predator-Z Float Stopper, L, ?15mm, 10pcs;;CZ8519;0,89 EUR;37,38
Аксессуары1;            Predator-Z Knotless Connector, 15 mm, 20 kg, 8 pcs («астежка);13,000;CZ9660;1,04 EUR;43,68
Аксессуары1;            Predator-Z Knotless Connector, 26 mm, 30 kg, 8pcs («астежка);20,000;CZ3415;1,04 EUR;43,68
Аксессуары1;            Predator-Z T-Shape triple swivel №6, 3pcs;35,000;CZ4115;0,68 EUR;28,56
