;            Sweet Angler's Maize, 220ml (125g) anise (анисовая);107,000;CZ4469;0,99 EUR;1,584;Carp Zoom;Наживка
;            Sweet Angler's Maize, 220ml (125g) brandy (бренди);;CZ5869;0,99 EUR;1,584;Carp Zoom;Наживка
;            Sweet Angler's Maize, 220ml (125g) honey (медовая);75,000;CZ1376;0,99 EUR;1,584;Carp Zoom;Наживка
;            Sweet Angler's Maize, 220ml (125g) natural (натуральная);42,000;CZ1338;0,99 EUR;1,584;Carp Zoom;Наживка
;            Sweet Angler's Maize, 220ml (125g) plum (слива);19,000;CZ7156;0,99 EUR;1,584;Carp Zoom;Наживка
;            Sweet Angler's Maize, 220ml (125g) strawberry (клубничная);;CZ7149;0,99 EUR;1,584;Carp Zoom;Наживка
;            Sweet Angler's Maize, 220ml (125g) tutti frutti (фруктовая смесь);77,000;CZ9362;0,99 EUR;1,584;Carp Zoom;Наживка
;            Sweet Angler's Maize, 220ml (125g) vanilla (ванильная);17,000;CZ1352;0,99 EUR;1,584;Carp Zoom;Наживка
;        02. Premium Maize (кукуруза премиум класса) (Catalogue p. 2);;;;0;Carp Zoom;Наживка
;            Premium Maize, 220 ml (125g) garlic (чеснок);19,000;CZ7163;1,57 EUR;2,512;Carp Zoom;Наживка
;            Premium Maize, 220 ml (125g) honey (медовая);;CZ1291;1,57 EUR;2,512;Carp Zoom;Наживка
;            Premium Maize, 220 ml (125g) liver (печень);88,000;CZ3491;1,57 EUR;2,512;Carp Zoom;Наживка
;            Premium Maize, 220 ml (125g) mosquito larva (личинки комаров);101,000;CZ3851;1,57 EUR;2,512;Carp Zoom;Наживка
;            Premium Maize, 220 ml (125g) mussel (мидии);1 127,000;CZ1314;0,99 EUR;1,584;Carp Zoom;Наживка
;            Premium Maize, 220 ml (125g) salty corn (соленая кукуруза);54,000;CZ3521;1,57 EUR;2,512;Carp Zoom;Наживка
;            Premium Maize, 220 ml (125g) scopex (скопекс);;CZ3844;1,57 EUR;2,512;Carp Zoom;Наживка
;            Premium Maize, 220 ml (125g) spicy sausage (острая колбаса);60,000;CZ3514;1,57 EUR;2,512;Carp Zoom;Наживка
;            Premium Maize, 220 ml (125g) strawberry (клубничная);;CZ1277;1,57 EUR;2,512;Carp Zoom;Наживка
;            Premium Maize, 220 ml (125g) vanilla (ванильная);;CZ9379;1,57 EUR;2,512;Carp Zoom;Наживка
;        03. XXL Corn (кукуруза экстра размера - XXL) (Catalogue p. 2);;;;0;Carp Zoom;Наживка
;            XXL Corn, 220 ml (125g) honey (медовая);33,000;CZ2342;1,57 EUR;2,512;Carp Zoom;Наживка
;            XXL Corn, 220 ml (125g) mussel (мидии);;CZ9386;1,57 EUR;2,512;Carp Zoom;Наживка
;            XXL Corn, 220 ml (125g) strawberry (клубничная);36,000;CZ2359;1,57 EUR;2,512;Carp Zoom;Наживка
;            XXL Corn, 220 ml (125g) vanilla (ванильная);32,000;CZ2335;1,57 EUR;2,512;Carp Zoom;Наживка
